"","feature","comparison","anova.Sum.Sq","anova.Mean.Sq","anova.NumDF","anova.DenDF","anova.F.value","anova.Pr..F."
"DFDiff","DF","Diff",0.00120077064412977,0.00120077064412977,1,101.075256895899,0.103619326067533,0.748193578702815
"quality","DF","Animals",838814.971962598,838814.971962598,1,106.000009736684,2.38153000247824,0.125757491851222
"quality1","DF","Humans",22822.8971962617,22822.8971962617,1,106.000225522319,0.0634121596338914,0.801669549754794
"DurDiff","duration","Diff",0.00858678659525183,0.00858678659525183,1,95.7160580444908,0.761571891359256,0.385021034325168
"quality2","duration","Animals",1.35690641335805,1.35690641335805,1,109.000002716497,3.13611280178734,0.0793713433016206
"quality3","duration","Humans",0.307379249433945,0.307379249433945,1,109.00002564533,0.694956508245479,0.406306697180575
"PitchDiff","pitch","Diff",0.0172847668741777,0.0172847668741777,1,94.7113913768022,1.74199437367365,0.190067615780904
"quality4","pitch","Animals",8995.35462127516,8995.35462127516,1,194.479004559266,0.116180229660324,0.733582778467378
"quality5","pitch","Humans",203178.226297495,203178.226297495,1,193.922554541546,2.65937955427656,0.104563920085665
"AMDiff","AM_var","Diff",0.00511015204852217,0.00511015204852217,1,107.957951973593,0.454568691647279,0.501614438146262
"quality6","AM_var","Animals",6.87519116987563e-06,6.87519116987563e-06,1,108.999996691012,0.0530156422905631,0.81832810610324
"quality7","AM_var","Humans",0.000142866197628419,0.000142866197628419,1,109.000051092082,1.11236556111794,0.293900515093131
"CentDiff","spectral_centroid","Diff",0.0360968767026226,0.0360968767026226,1,100.999858983666,3.29420257620218,0.0724927317786601
"quality8","spectral_centroid","Animals",576060.519994999,576060.519994999,1,102.00004026548,9.71426893296281,0.00237552089387553
"quality9","spectral_centroid","Humans",127290.777002223,127290.777002223,1,102.000029177216,1.99828013890519,0.16052252606771
"ShanDiff","shannon_entropy","Diff",0.00655280623187029,0.00655280623187029,1,59.0764794154732,0.582204227360358,0.448485890975905
"quality10","shannon_entropy","Animals",0.00132238561559485,0.00132238561559485,1,202.858424459908,1.58442386849409,0.209571261079079
"quality11","shannon_entropy","Humans",6.62978955552705e-05,6.62978955552705e-05,1,202.857346936095,0.0788502170428777,0.779147832836455
"RoughDiff","roughness","Diff",0.0121601567248344,0.0121601567248344,1,99.7336566849487,1.09152434473813,0.29865936929317
"quality12","roughness","Animals",28913.2572866313,28913.2572866313,1,105.997728780547,0.219061338916852,0.640717015754276
"quality13","roughness","Humans",456699.682363632,456699.682363632,1,106.001209126372,3.56933661816745,0.0615884737383206
"AttackDiff","attack_slope","Diff",0.0186440597627773,0.0186440597627773,1,100.999995063269,1.68271044831821,0.197520021123186
"quality14","attack_slope","Animals",12.1470912244374,12.1470912244374,1,102.000002665586,0.417532506813684,0.519622041972427
"quality15","attack_slope","Humans",13.1989543946941,13.1989543946941,1,101.999992989155,0.453849102083179,0.502036470536973
"RMSDiff","RMS","Diff",0.000134798031088667,0.000134798031088667,1,107.383347840155,0.0119233763683541,0.913252240653403
"quality16","RMS","Animals",0.000406380781141361,0.000406380781141361,1,203.206073287929,0.407531989783436,0.523943634096923
"quality17","RMS","Humans",0.00122694257793681,0.00122694257793681,1,203.205229545872,1.23542163557528,0.267668584691474
"BrightDiff","brightness","Diff",0.0201485879525207,0.0201485879525207,1,32.6933830439059,2.15307970017282,0.151839154642689
"quality18","brightness","Animals",0.109862539977378,0.109862539977378,1,33.9992954787405,17.091641084704,0.000220055955980674
"quality19","brightness","Humans",0.0359314741802924,0.0359314741802924,1,64.8287263250376,4.52243560100879,0.0372647811766103
"SkewDiff","spectral_skewness","Diff",0.0271799255085095,0.0271799255085095,1,88.2636054228457,2.46454280160969,0.120019765378838
"quality20","spectral_skewness","Animals",1.2743331263265,1.2743331263265,1,202.946934882649,2.68163139547149,0.103061249394902
"quality21","spectral_skewness","Humans",0.886449043199449,0.886449043199449,1,202.946774625862,1.85791957922743,0.174375465242826
"SpreadDiff","spectral_spread","Diff",0.000538157745259491,0.000538157745259491,1,101.730373420624,0.0450601940749246,0.832318124315518
"quality22","spectral_spread","Animals",7484.73173467977,7484.73173467977,1,104.000179534823,0.222366154094364,0.638230691123759
"quality23","spectral_spread","Humans",7691.00048655729,7691.00048655729,1,104.000112652577,0.228507447020774,0.633636013603111
