"","feature","anova.Chisq","anova.Df","anova.Pr..Chisq."
"expert","animal sounds expert",1.7350198891686,1,0.187771078850223
"gender","gender",9.89238707546619,2,0.00711042303933972
"incomeNum","income",0.0851465929041282,1,0.770440393061596
"age","age",0.0226496656826966,1,0.880371682201457
"musicLessons","music lessons",0.267647971484918,1,0.604913914453131
"education_num","education",1.81053822491802,1,0.178443678231825
"MusicExpert","music expert",2.37173699482862,1,0.123549512008446
"enjoyer","music enjoyment",3.34214693458355,1,0.0675264471421757
"makeNum","time making music",0.562109494885631,1,0.453411541564355
"ListenNum","time listening to music",11.1350873566921,1,0.000847099408622221
"lessonsNum","ability wrt peers",0.143238959682854,1,0.705082046113417
"listenExpert","listening skill",6.74915769418564,1,0.00937919525133918
